"時間.年.","行業","受僱員工人數","平均薪資","經常性.薪資","非經常性薪資","加班費","平均.工時","正常.工時","加班.工時","進.入.率","退.出.率","勞動.生產力.指數","單位產出.勞動成本.指數","平均.薪資.指數","經常性.薪資.指數"
"87","礦業及土石採取業","11568","40083","33522","6561","1475","189.9","182.7","7.2","1.64","2.20","62.74","115.19","75.14","82.47"
"87","製造業","2389582","36431","28929","7502","2317","198.0","182.4","15.6","2.14","2.26","65.49","123.27","85.94","86.05"
"87","電力及燃氣供應業","28511","88192","57800","30392","2282","181.9","174.9","7.0","0.10","0.33","67.88","126.06","90.70","87.94"
"87","用水供應及污染整治業","23856","41708","35425","6283","575","187.3","183.3","4.0","2.24","2.34","-","-","88.27","94.15"
"87","營造業","476035","37886","34096","3790","1161","188.3","180.9","7.4","3.15","3.84","-","-","96.73","96.07"
"87","批發及零售業","1293578","37696","31341","6355","702","182.9","178.5","4.4","3.29","3.35","-","-","95.72","92.61"
"87","運輸及倉儲業","276732","44074","35656","8418","1231","192.9","185.4","7.5","1.37","1.49","-","-","90.95","90.71"
"87","住宿及餐飲業","162332","24039","20868","3171","235","184.5","182.6","1.9","3.82","4.15","-","-","96.31","89.91"
"87","資訊及通訊傳播業","137701","61421","44877","16544","772","180.9","177.9","3.0","2.31","1.62","-","-","100.47","92.07"
"87","金融及保險業","343637","59546","42171","17375","1160","175.5","170.5","5.0","1.98","1.77","-","-","86.23","81.06"
"87","不動產業","95262","41719","34905","6814","416","185.3","182.7","2.6","2.69","3.21","-","-","108.89","104.74"
"87","專業、科學及技術服務業","169733","47898","39110","8788","1254","178.4","172.2","6.2","2.98","3.23","-","-","92.57","91.81"
"87","支援服務業","102295","34814","30341","4473","687","188.4","183.2","5.2","4.48","4.21","-","-","106.72","102.57"
"87","醫療保健服務業","162753","48920","40839","8081","872","187.1","182.3","4.8","2.04","1.71","-","-","88.26","88.13"
"87","藝術、娛樂及休閒服務業","37546","26256","23054","3202","775","202.8","197.6","5.2","3.80","4.02","-","-","83.88","80.88"
"87","其他服務業","86675","29530","25107","4423","423","207.2","204.5","2.7","2.24","2.67","-","-","97.77","92.68"
"88","工業部門","2923472","38404","31061","7343","2268","196.6","181.7","14.9","2.45","2.24","70.23","118.94","90.35","90.77"
"88","服務業部門","2906905","43294","35086","8208","877","183.8","179.1","4.7","2.82","2.58","-","-","97.60","94.69"
"88","礦業及土石採取業","10679","41432","34775","6657","1310","185.9","179.7","6.2","0.80","1.80","63.85","119.51","77.67","85.56"
"88","製造業","2405286","37738","29935","7803","2488","199.0","182.5","16.5","2.22","1.96","69.87","119.12","89.02","89.04"
"88","電力及燃氣供應業","29691","91265","59926","31339","2650","183.0","175.4","7.6","0.82","0.33","66.90","131.55","93.87","91.18"
"88","用水供應及污染整治業","23910","44729","36232","8497","883","184.3","179.1","5.2","3.06","2.70","-","-","94.66","96.29"
"88","營造業","453906","38070","34777","3293","1174","185.5","178.3","7.2","3.82","3.84","-","-","97.20","97.99"
"88","批發及零售業","1320852","38695","32487","6208","780","182.9","178.3","4.6","3.33","2.93","-","-","98.26","96.00"
"88","運輸及倉儲業","275444","45072","36671","8401","1234","190.8","183.7","7.1","1.28","1.27","-","-","93.01","93.29"
"88","住宿及餐飲業","161955","25117","21588","3529","259","188.9","186.8","2.1","4.10","4.05","-","-","100.63","93.02"
"88","資訊及通訊傳播業","143048","61260","45861","15399","957","177.0","173.5","3.5","2.32","2.00","-","-","100.21","94.09"
"88","金融及保險業","352210","60332","43140","17192","1240","174.6","169.7","4.9","1.73","1.52","-","-","87.37","82.93"
"88","不動產業","87044","44429","36428","8001","614","180.7","177.1","3.6","2.62","3.64","-","-","115.96","109.31"
"88","專業、科學及技術服務業","167258","49574","40721","8853","1394","181.3","174.5","6.8","2.70","2.73","-","-","95.81","95.59"
"88","支援服務業","108182","34919","30847","4072","588","186.9","182.5","4.4","4.03","3.24","-","-","107.04","104.28"
"88","醫療保健服務業","172865","51020","42747","8273","885","185.1","180.9","4.2","2.18","1.61","-","-","92.05","92.24"
"88","藝術、娛樂及休閒服務業","34871","26524","24182","2342","645","202.0","198.2","3.8","4.07","4.75","-","-","84.73","84.84"
"88","其他服務業","83176","30825","26164","4661","454","208.1","205.1","3.0","2.27","2.65","-","-","102.06","96.59"
"89","工業部門","2958289","39498","31908","7590","2338","196.8","181.5","15.3","2.40","2.47","74.34","116.02","92.92","93.25"
"89","服務業部門","2975341","44210","35986","8224","817","183.5","179.0","4.5","2.80","2.72","-","-","99.66","97.12"
"89","礦業及土石採取業","9604","43067","36176","6891","1272","185.4","179.5","5.9","0.77","1.51","65.16","122.03","80.73","89.00"
"89","製造業","2458527","38914","30892","8022","2535","198.7","181.9","16.8","2.23","2.21","73.97","116.32","91.79","91.89"
"89","電力及燃氣供應業","29677","91805","60799","31006","2626","182.3","174.5","7.8","0.29","0.37","71.63","124.12","94.42","92.51"
"89","用水供應及污染整治業","23216","44341","36862","7479","1060","188.0","182.4","5.6","2.73","3.35","-","-","93.84","97.96"
"89","營造業","437265","38897","35303","3594","1300","187.5","179.5","8.0","3.54","4.00","-","-","99.31","99.47"
"89","批發及零售業","1372043","39541","33309","6232","718","182.9","178.4","4.5","3.33","3.22","-","-","100.41","98.43"
"89","運輸及倉儲業","276922","45949","37461","8488","1190","189.6","182.9","6.7","1.34","1.28","-","-","94.82","95.30"
"89","住宿及餐飲業","160880","26060","22447","3613","202","188.2","186.6","1.6","4.25","4.30","-","-","104.41","96.72"
"89","資訊及通訊傳播業","153910","62759","47787","14972","815","176.3","173.1","3.2","2.98","2.24","-","-","102.66","98.04"
"89","金融及保險業","363656","60872","43754","17118","1096","173.9","169.5","4.4","1.69","1.55","-","-","88.15","84.11"
"89","不動產業","74008","43716","36376","7340","566","178.3","174.7","3.6","1.29","2.75","-","-","114.10","109.16"
"89","專業、科學及技術服務業","163637","49844","41612","8232","1481","182.8","176.2","6.6","2.67","2.96","-","-","96.34","97.68"
"89","支援服務業","115825","35277","31357","3920","698","192.1","187.4","4.7","3.88","3.69","-","-","108.14","106.00"
"89","醫療保健服務業","180991","53397","44016","9381","833","182.5","178.7","3.8","1.84","1.63","-","-","96.33","94.98"
"89","藝術、娛樂及休閒服務業","32801","27592","25312","2280","504","199.1","195.9","3.2","4.04","4.66","-","-","88.14","88.80"
"89","其他服務業","80668","31335","27113","4222","329","208.1","205.9","2.2","2.26","2.23","-","-","103.75","100.09"
"90","工業部門","2810635","39005","32135","6870","1921","183.7","170.9","12.8","1.73","2.32","77.09","119.50","91.76","93.91"
"90","服務業部門","2905837","44818","36764","8054","800","177.0","172.6","4.4","2.28","2.62","-","-","101.03","99.22"
"90","礦業及土石採取業","8429","44069","37224","6845","1134","184.4","178.9","5.5","0.68","1.72","75.20","108.78","82.61","91.58"
"90","製造業","2348449","38412","31307","7105","2038","184.4","170.4","14.0","1.50","2.08","76.15","120.42","90.61","93.12"
"90","電力及燃氣供應業","29146","97399","61028","36371","2686","173.0","165.4","7.6","0.33","0.60","77.41","128.39","100.17","92.85"
"90","用水供應及污染整治業","22151","46002","37691","8311","661","183.5","180.0","3.5","1.90","2.29","-","-","97.36","100.17"
"90","營造業","402460","37746","34469","3277","1268","180.8","173.5","7.3","3.18","3.88","-","-","96.37","97.12"
"90","批發及零售業","1350327","39775","33627","6148","718","178.2","173.5","4.7","2.69","2.93","-","-","101.00","99.36"
"90","運輸及倉儲業","272065","48017","38092","9925","1118","181.6","175.0","6.6","1.35","1.64","-","-","99.09","96.91"
"90","住宿及餐飲業","148555","25973","22978","2995","179","175.6","174.3","1.3","3.47","4.35","-","-","104.06","99.00"
"90","資訊及通訊傳播業","156318","62100","48682","13418","582","166.2","163.6","2.6","1.84","2.20","-","-","101.58","99.88"
"90","金融及保險業","359652","62657","46212","16445","1089","166.2","161.9","4.3","1.25","1.52","-","-","90.74","88.83"
"90","不動產業","61679","42277","36362","5915","695","172.4","169.4","3.0","1.06","2.58","-","-","110.35","109.12"
"90","專業、科學及技術服務業","155053","49227","41636","7591","1464","175.8","169.6","6.2","2.58","3.13","-","-","95.14","97.74"
"90","支援服務業","114208","35579","31488","4091","806","187.0","181.3","5.7","4.03","4.20","-","-","109.06","106.44"
"90","醫療保健服務業","182598","54484","45373","9111","806","178.0","174.4","3.6","1.19","1.18","-","-","98.30","97.91"
"90","藝術、娛樂及休閒服務業","29017","28338","26196","2142","516","191.6","188.2","3.4","2.90","3.82","-","-","90.53","91.91"
"90","其他服務業","76365","29927","27194","2733","228","199.9","198.5","1.4","1.75","2.52","-","-","99.09","100.39"
"91","工業部門","2761841","38836","32243","6593","2086","185.8","171.5","14.3","2.14","1.99","83.40","108.56","91.36","94.23"
"91","服務業部門","2888364","44105","37138","6967","661","177.2","173.4","3.8","2.40","2.14","-","-","99.43","100.23"
"91","礦業及土石採取業","7833","44804","38888","5916","991","188.3","183.4","4.9","1.16","1.68","85.97","94.77","83.99","95.67"
"91","製造業","2318803","38435","31537","6898","2269","187.5","171.7","15.8","1.96","1.76","82.67","109.16","90.66","93.80"
"91","電力及燃氣供應業","28241","93466","62299","31167","1800","172.4","167.2","5.2","0.21","0.37","83.98","113.93","96.13","94.79"
"91","用水供應及污染整治業","21343","43917","37696","6221","464","182.3","179.4","2.9","2.06","2.25","-","-","92.94","100.18"
"91","營造業","385621","36844","33848","2996","1116","176.2","169.6","6.6","3.43","3.53","-","-","94.07","95.37"
"91","批發及零售業","1356986","39152","33961","5191","506","177.4","174.0","3.4","2.60","2.34","-","-","99.42","100.35"
"91","運輸及倉儲業","264397","46509","38220","8289","1097","180.9","174.3","6.6","1.33","1.40","-","-","95.97","97.23"
"91","住宿及餐飲業","149911","25687","23237","2450","146","175.7","174.6","1.1","4.45","3.68","-","-","102.91","100.12"
"91","資訊及通訊傳播業","150966","59239","48649","10590","552","169.5","167.0","2.5","2.03","1.90","-","-","96.90","99.81"
"91","金融及保險業","343749","65703","49546","16157","1090","168.6","164.0","4.6","1.30","1.49","-","-","95.15","95.24"
"91","不動產業","56363","40896","35244","5652","786","174.2","170.1","4.1","2.17","2.27","-","-","106.74","105.76"
"91","專業、科學及技術服務業","151891","45672","40705","4967","927","175.3","169.7","5.6","2.88","2.78","-","-","88.27","95.55"
"91","支援服務業","120358","34605","30920","3685","716","187.2","181.5","5.7","3.89","2.65","-","-","106.08","104.52"
"91","醫療保健服務業","188293","53841","45173","8668","826","179.2","175.6","3.6","1.62","1.10","-","-","97.14","97.48"
"91","藝術、娛樂及休閒服務業","29922","27888","26193","1695","427","191.5","188.8","2.7","4.31","2.91","-","-","89.09","91.90"
"91","其他服務業","75528","29236","26998","2238","189","199.9","198.6","1.3","2.31","1.76","-","-","96.80","99.66"
"92","工業部門","2808366","39851","32591","7260","2244","186.3","171.2","15.1","2.18","1.99","88.71","104.64","93.75","95.25"
"92","服務業部門","2976979","44153","36892","7261","655","176.6","172.9","3.7","2.61","2.30","-","-","99.54","99.57"
"92","礦業及土石採取業","7120","47720","39456","8264","984","185.5","181.2","4.3","1.20","2.08","89.18","98.77","89.46","97.07"
"92","製造業","2372733","39549","31942","7607","2455","188.2","171.4","16.8","1.98","1.73","88.24","104.88","93.29","95.01"
"92","電力及燃氣供應業","28414","95191","63002","32189","1569","171.4","166.7","4.7","0.49","0.44","87.57","111.95","97.90","95.86"
"92","用水供應及污染整治業","21131","43954","37623","6331","555","181.7","178.1","3.6","2.01","1.97","-","-","93.02","99.99"
"92","營造業","378968","37214","33959","3255","1090","175.6","169.5","6.1","3.59","3.76","-","-","95.01","95.68"
"92","批發及零售業","1373831","39610","34029","5581","455","176.0","173.2","2.8","2.63","2.58","-","-","100.58","100.55"
"92","運輸及倉儲業","259720","45934","37982","7952","1057","179.2","172.7","6.5","1.44","1.62","-","-","94.79","96.63"
"92","住宿及餐飲業","161598","24951","22958","1993","205","177.0","175.5","1.5","5.37","4.45","-","-","99.96","98.92"
"92","資訊及通訊傳播業","156404","60292","48176","12116","641","168.7","165.9","2.8","1.97","1.76","-","-","98.62","98.84"
"92","金融及保險業","349188","64645","48583","16062","1023","168.7","164.5","4.2","1.82","1.51","-","-","93.62","93.39"
"92","不動產業","58520","40431","35053","5378","557","178.1","174.6","3.5","2.68","2.08","-","-","105.53","105.19"
"92","專業、科學及技術服務業","157317","47429","40982","6447","1114","176.5","171.0","5.5","2.82","2.28","-","-","91.67","96.20"
"92","支援服務業","142752","32871","29855","3016","976","189.2","181.0","8.2","4.24","2.71","-","-","100.76","100.92"
"92","醫療保健服務業","201367","55702","45405","10297","892","177.0","173.5","3.5","1.89","1.23","-","-","100.49","97.98"
"92","藝術、娛樂及休閒服務業","34265","27666","25935","1731","358","188.6","186.7","1.9","4.92","3.64","-","-","88.38","90.99"
"92","其他服務業","82017","28947","26924","2023","233","197.3","195.5","1.8","2.23","1.49","-","-","95.84","99.39"
"93","工業部門","2900901","40841","33072","7769","2485","188.6","172.6","16.0","2.18","1.93","92.57","101.64","96.08","96.65"
"93","服務業部門","3124988","44396","36984","7412","742","178.7","174.4","4.3","2.62","2.22","-","-","100.08","99.81"
"93","礦業及土石採取業","6515","46307","39568","6739","879","184.3","180.7","3.6","1.02","1.85","94.28","91.23","86.81","97.35"
"93","製造業","2461369","40657","32470","8187","2708","190.6","172.7","17.9","2.02","1.78","92.45","101.69","95.90","96.58"
"93","電力及燃氣供應業","27894","94525","63943","30582","1540","172.2","167.8","4.4","0.27","0.47","91.75","105.61","97.22","97.29"
"93","用水供應及污染整治業","21540","42880","37283","5597","805","182.9","178.1","4.8","2.07","2.11","-","-","90.75","99.08"
"93","營造業","383583","37916","34345","3571","1237","177.3","171.4","5.9","3.37","2.98","-","-","96.80","96.77"
"93","批發及零售業","1409035","39819","34240","5579","663","180.1","175.8","4.3","2.52","2.26","-","-","101.11","101.18"
"93","運輸及倉儲業","260850","46986","38403","8583","997","182.5","175.9","6.6","1.51","1.45","-","-","96.96","97.70"
"93","住宿及餐飲業","189173","24813","22980","1833","137","169.2","168.1","1.1","5.26","4.17","-","-","99.41","99.01"
"93","資訊及通訊傳播業","160789","59417","48202","11215","656","169.4","166.6","2.8","2.13","1.91","-","-","97.19","98.90"
"93","金融及保險業","359774","66671","49040","17631","969","169.1","165.0","4.1","1.82","1.60","-","-","96.55","94.27"
"93","不動產業","63853","39781","34977","4804","427","185.4","182.2","3.2","3.66","2.66","-","-","103.83","104.96"
"93","專業、科學及技術服務業","168149","49311","41477","7834","1263","178.3","172.1","6.2","2.49","1.92","-","-","95.31","97.36"
"93","支援服務業","168261","32707","29625","3082","955","190.5","182.2","8.3","4.40","3.39","-","-","100.26","100.15"
"93","醫療保健服務業","217713","55341","45753","9588","894","176.3","173.0","3.3","1.95","1.41","-","-","99.84","98.73"
"93","藝術、娛樂及休閒服務業","40515","29662","27006","2656","550","185.2","181.3","3.9","5.99","4.83","-","-","94.76","94.75"
"93","其他服務業","86876","29421","26733","2688","310","199.9","197.7","2.2","1.94","1.67","-","-","97.41","98.69"
"94","工業部門","2933221","41908","33620","8288","2399","187.1","171.7","15.4","2.15","2.10","96.27","101.63","98.59","98.25"
"94","服務業部門","3267894","44290","36972","7318","718","177.4","173.1","4.3","2.94","2.56","-","-","99.84","99.78"
"94","礦業及土石採取業","5806","47671","40297","7374","1030","181.0","176.6","4.4","1.14","1.94","97.59","92.37","89.37","99.14"
"94","製造業","2479476","41858","33022","8836","2628","188.8","171.5","17.3","2.03","1.99","96.18","101.83","98.74","98.22"
"94","電力及燃氣供應業","27446","91184","64399","26785","1576","171.1","166.7","4.4","0.31","0.39","97.81","96.16","93.78","97.98"
"94","用水供應及污染整治業","20975","47647","38565","9082","1329","184.5","176.6","7.9","1.97","1.99","-","-","100.84","102.49"
"94","營造業","399518","38450","34865","3585","1109","177.7","172.7","5.0","3.09","2.87","-","-","98.17","98.24"
"94","批發及零售業","1455376","39545","33983","5562","602","177.6","173.5","4.1","3.08","2.80","-","-","100.42","100.42"
"94","運輸及倉儲業","259753","48618","39021","9597","1094","180.8","173.7","7.1","1.62","1.66","-","-","100.33","99.27"
"94","住宿及餐飲業","212767","25121","23267","1854","158","174.0","172.6","1.4","5.04","3.96","-","-","100.65","100.25"
"94","資訊及通訊傳播業","165339","61381","48469","12912","802","168.5","165.3","3.2","2.39","2.11","-","-","100.40","99.44"
"94","金融及保險業","369109","65113","49456","15657","892","168.0","164.2","3.8","1.67","1.51","-","-","94.29","95.07"
"94","不動產業","70602","38819","34558","4261","351","186.1","183.4","2.7","3.68","3.03","-","-","101.32","103.70"
"94","專業、科學及技術服務業","177111","50890","42148","8742","1175","175.5","169.6","5.9","2.59","2.25","-","-","98.36","98.94"
"94","支援服務業","191679","32815","29517","3298","968","188.9","180.4","8.5","5.37","4.20","-","-","100.59","99.78"
"94","醫療保健服務業","233022","55603","46486","9117","915","176.0","173.2","2.8","1.77","1.18","-","-","100.31","100.31"
"94","藝術、娛樂及休閒服務業","44706","29898","27828","2070","530","184.5","180.9","3.6","5.68","4.87","-","-","95.51","97.63"
"94","其他服務業","88430","30384","26772","3612","407","199.5","196.6","2.9","2.08","2.20","-","-","100.60","98.83"
"95","工業部門","2978557","42507","34218","8289","2387","185.9","170.5","15.4","2.38","2.22","100.00","100.00","100.00","100.00"
"95","服務業部門","3394504","44359","37053","7306","634","176.6","173.0","3.6","2.93","2.65","-","-","100.00","100.00"
"95","礦業及土石採取業","5335","53344","40646","12698","981","182.7","178.5","4.2","0.88","1.82","100.00","100.00","100.00","100.00"
"95","製造業","2510435","42393","33620","8773","2631","187.3","170.0","17.3","2.31","2.19","100.00","100.00","100.00","100.00"
"95","電力及燃氣供應業","27393","97230","65724","31506","1587","171.6","167.2","4.4","0.51","0.41","100.00","100.00","100.00","100.00"
"95","用水供應及污染整治業","22676","47251","37628","9623","1197","183.9","175.9","8.0","3.12","1.95","-","-","100.00","100.00"
"95","營造業","412718","39168","35491","3677","1041","178.1","173.1","5.0","2.90","2.53","-","-","100.00","100.00"
"95","批發及零售業","1486835","39380","33842","5538","422","175.3","172.7","2.6","3.05","2.98","-","-","100.00","100.00"
"95","運輸及倉儲業","260834","48460","39307","9153","1218","179.9","172.7","7.2","1.71","1.61","-","-","100.00","100.00"
"95","住宿及餐飲業","238302","24960","23209","1751","145","173.6","172.4","1.2","4.44","3.71","-","-","100.00","100.00"
"95","資訊及通訊傳播業","167593","61134","48740","12394","615","167.5","165.0","2.5","2.24","2.25","-","-","100.00","100.00"
"95","金融及保險業","366666","69054","52022","17032","917","168.6","165.0","3.6","1.75","1.90","-","-","100.00","100.00"
"95","不動產業","76624","38313","33324","4989","360","182.6","179.7","2.9","3.23","2.56","-","-","100.00","100.00"
"95","專業、科學及技術服務業","183787","51740","42600","9140","1148","174.9","169.3","5.6","2.76","2.28","-","-","100.00","100.00"
"95","支援服務業","226532","32622","29582","3040","1017","191.9","183.0","8.9","5.41","3.73","-","-","100.00","100.00"
"95","醫療保健服務業","249091","55429","46342","9087","859","175.3","172.6","2.7","1.67","1.11","-","-","100.00","100.00"
"95","藝術、娛樂及休閒服務業","50175","31303","28503","2800","487","186.3","183.2","3.1","5.94","4.82","-","-","100.00","100.00"
"95","其他服務業","88065","30203","27089","3114","292","201.2","199.2","2.0","2.03","2.04","-","-","100.00","100.00"
"96","工業部門","3024697","43302","34674","8628","2424","185.7","170.3","15.4","2.25","2.09","106.79","95.32","101.87","101.33"
"96","服務業部門","3484194","45380","37778","7602","651","175.8","172.3","3.5","2.72","2.56","-","-","102.30","101.96"
"96","礦業及土石採取業","4860","51057","40676","10381","1154","184.0","179.1","4.9","1.14","1.43","90.41","105.10","95.71","100.07"
"96","製造業","2543763","43169","34065","9104","2675","187.3","170.0","17.3","2.16","1.99","107.12","95.06","101.83","101.32"
"96","電力及燃氣供應業","27807","98448","65613","32835","1554","171.3","166.9","4.4","0.42","0.42","101.62","99.82","101.25","99.83"
"96","用水供應及污染整治業","24857","44447","36310","8137","1068","185.1","178.4","6.7","2.13","1.74","-","-","94.07","96.50"
"96","營造業","423410","40327","36138","4189","1061","176.9","171.5","5.4","2.87","2.82","-","-","102.96","101.82"
"96","批發及零售業","1486863","39475","34340","5135","445","174.8","172.1","2.7","2.63","2.64","-","-","100.24","101.47"
"96","運輸及倉儲業","262901","49234","39507","9727","1359","179.4","172.2","7.2","1.57","1.62","-","-","101.60","100.51"
"96","住宿及餐飲業","251850","25500","23583","1917","184","172.5","171.1","1.4","4.24","3.97","-","-","102.16","101.61"
"96","資訊及通訊傳播業","166379","63756","49150","14606","584","168.2","165.7","2.5","2.13","2.16","-","-","104.29","100.84"
"96","金融及保險業","370645","75732","55819","19913","851","167.1","163.9","3.2","1.88","1.68","-","-","109.67","107.30"
"96","不動產業","81842","37877","33184","4693","325","177.9","175.2","2.7","3.84","3.39","-","-","98.86","99.58"
"96","專業、科學及技術服務業","191816","53281","43024","10257","1240","175.2","169.3","5.9","2.51","2.32","-","-","102.98","101.00"
"96","支援服務業","268999","33139","30004","3135","893","188.6","180.9","7.7","5.38","4.20","-","-","101.58","101.43"
"96","醫療保健服務業","262377","56603","47347","9256","898","175.1","172.2","2.9","1.53","1.17","-","-","102.12","102.17"
"96","藝術、娛樂及休閒服務業","53918","31499","28907","2592","511","184.7","181.5","3.2","4.85","4.76","-","-","100.63","101.42"
"96","其他服務業","86604","29926","27161","2765","269","201.5","199.8","1.7","1.79","1.82","-","-","99.08","100.27"
"97","工業部門","3048257","43233","34779","8454","2209","183.5","169.8","13.7","1.97","2.23","105.68","97.37","101.71","101.64"
"97","服務業部門","3540343","45450","37838","7612","621","176.3","172.9","3.4","2.52","2.58","-","-","102.46","102.12"
"97","礦業及土石採取業","4698","51499","39940","11559","1097","184.2","179.7","4.5","1.16","1.53","89.06","107.52","96.54","98.26"
"97","製造業","2564542","43105","34123","8982","2400","184.7","169.5","15.2","1.77","2.08","106.02","97.31","101.68","101.50"
"97","電力及燃氣供應業","28015","89296","65144","24152","1555","172.7","168.2","4.5","0.56","0.27","98.25","92.89","91.84","99.12"
"97","用水供應及污染整治業","25695","44649","36085","8564","1046","186.5","180.0","6.5","2.07","2.15","-","-","94.49","95.90"
"97","營造業","425307","40792","36597","4195","1179","176.4","170.8","5.6","3.24","3.27","-","-","104.15","103.12"
"97","批發及零售業","1483763","39980","34747","5233","413","175.9","173.4","2.5","2.40","2.64","-","-","101.52","102.67"
"97","運輸及倉儲業","260020","49800","40172","9628","1309","179.1","172.1","7.0","1.48","1.61","-","-","102.77","102.20"
"97","住宿及餐飲業","263159","26747","24372","2375","242","172.3","170.5","1.8","4.47","4.12","-","-","107.16","105.01"
"97","資訊及通訊傳播業","171052","63888","49492","14396","630","169.4","166.8","2.6","2.02","1.71","-","-","104.50","101.54"
"97","金融及保險業","372937","71319","52150","19169","818","167.5","164.4","3.1","1.51","1.70","-","-","103.28","100.25"
"97","不動產業","83710","40343","34850","5493","326","180.3","178.4","1.9","3.01","3.09","-","-","105.30","104.58"
"97","專業、科學及技術服務業","196662","54524","44480","10044","1162","176.3","170.9","5.4","2.22","2.17","-","-","105.38","104.41"
"97","支援服務業","295369","32999","29866","3133","882","187.9","180.3","7.6","4.75","4.72","-","-","101.16","100.96"
"97","醫療保健服務業","276247","58122","48019","10103","774","174.4","171.8","2.6","1.55","1.08","-","-","104.86","103.62"
"97","藝術、娛樂及休閒服務業","52483","32053","29710","2343","274","181.4","179.6","1.8","4.07","4.34","-","-","102.40","104.23"
"97","其他服務業","84941","29311","27300","2011","278","200.0","197.9","2.1","1.76","2.14","-","-","97.05","100.78"
"98","工業部門","2884127","40032","33553","6479","1651","178.6","168.2","10.4","1.88","2.03","106.34","91.00","94.18","98.06"
"98","服務業部門","3520222","44114","37446","6668","550","175.2","172.2","3.0","2.33","2.35","-","-","99.45","101.06"
"98","礦業及土石採取業","4292","49674","40636","9038","1008","182.0","178.2","3.8","0.95","1.74","90.36","103.42","93.12","99.98"
"98","製造業","2411013","39152","32518","6634","1775","179.3","167.8","11.5","1.71","1.86","106.62","90.55","92.35","96.72"
"98","電力及燃氣供應業","28633","95996","64567","31429","1517","172.3","168.0","4.3","0.30","0.21","93.19","105.49","98.73","98.24"
"98","用水供應及污染整治業","25084","44234","36439","7795","803","182.9","177.8","5.1","1.64","1.58","-","-","93.61","96.84"
"98","營造業","415105","40930","37180","3750","1004","175.0","169.8","5.2","3.03","3.14","-","-","104.50","104.76"
"98","批發及零售業","1417507","40154","34633","5521","334","175.8","173.8","2.0","2.21","2.32","-","-","101.97","102.34"
"98","運輸及倉儲業","252412","48068","39685","8383","946","180.3","174.2","6.1","1.30","1.43","-","-","99.19","100.96"
"98","住宿及餐飲業","263545","27171","24570","2601","493","169.7","166.7","3.0","3.82","3.78","-","-","108.86","105.86"
"98","資訊及通訊傳播業","171111","62013","49308","12705","529","169.1","166.9","2.2","1.86","1.82","-","-","101.44","101.17"
"98","金融及保險業","357602","67513","52420","15093","763","168.1","165.2","2.9","1.22","1.47","-","-","97.77","100.77"
"98","不動產業","80580","38720","35106","3614","307","181.7","180.0","1.7","2.60","2.64","-","-","101.06","105.35"
"98","專業、科學及技術服務業","195250","49969","44274","5695","824","174.0","169.6","4.4","1.98","1.86","-","-","96.58","103.93"
"98","支援服務業","287644","31596","28913","2683","848","187.7","180.3","7.4","5.09","4.59","-","-","96.85","97.74"
"98","教育服務業","73713","22195","21332","863","30","140.9","140.7","0.2","2.29","2.56","-","-","-","-"
"98","醫療保健服務業","289341","57844","48381","9463","951","173.7","171.0","2.7","1.45","1.17","-","-","104.36","104.40"
"98","藝術、娛樂及休閒服務業","49725","31257","29352","1905","164","184.4","183.3","1.1","3.61","3.52","-","-","99.85","102.98"
"98","其他服務業","81792","29731","27264","2467","181","195.2","193.8","1.4","2.08","1.98","-","-","98.44","100.65"
"99","工業部門","3005541","42869","34314","8555","2446","187.1","171.8","15.3","2.61","2.20","124.02","80.02","100.85","100.28"
"99","服務業部門","3596379","45930","38040","7890","633","176.3","172.7","3.6","2.75","2.56","-","-","103.54","102.66"
"99","礦業及土石採取業","4158","52863","40975","11888","1061","185.0","180.7","4.3","1.05","1.28","105.51","92.77","99.10","100.81"
"99","製造業","2516826","42420","33383","9037","2727","189.0","171.7","17.3","2.56","2.11","125.00","79.42","100.06","99.30"
"99","電力及燃氣供應業","28873","96143","65031","31112","1556","173.3","168.9","4.4","0.26","0.28","96.62","101.38","98.88","98.95"
"99","用水供應及污染整治業","25730","45404","36462","8942","775","182.5","177.3","5.2","1.81","1.63","-","-","96.09","96.90"
"99","營造業","429954","41674","37507","4167","978","177.1","172.3","4.8","3.15","2.84","-","-","106.40","105.68"
"99","批發及零售業","1441092","41970","35338","6632","421","176.2","173.6","2.6","2.65","2.47","-","-","106.58","104.42"
"99","運輸及倉儲業","255135","49161","39670","9491","1217","181.5","173.8","7.7","1.79","1.65","-","-","101.45","100.92"
"99","住宿及餐飲業","272786","27829","24992","2837","418","171.8","169.1","2.7","4.86","4.50","-","-","111.49","107.68"
"99","資訊及通訊傳播業","174331","64425","49917","14508","514","170.0","167.7","2.3","2.09","1.92","-","-","105.38","102.41"
"99","金融及保險業","353459","73663","54507","19156","731","168.9","166.3","2.6","1.48","1.48","-","-","106.67","104.78"
"99","不動產業","87095","41154","35552","5602","309","180.1","178.1","2.0","3.25","2.33","-","-","107.42","106.69"
"99","專業、科學及技術服務業","201641","52942","44683","8259","1092","175.1","169.9","5.2","2.30","1.91","-","-","102.32","104.89"
"99","支援服務業","303026","32351","28930","3421","1077","192.1","182.6","9.5","5.62","5.55","-","-","99.17","97.80"
"99","教育服務業","74564","22457","21295","1162","176","139.1","138.0","1.1","2.34","2.11","-","-","-","-"
